ID_Error_V1_Out,ERR_RDG_M_TMatrix_ABS_CRS,ERR_RDG_M_TMatrix_SCA_CRS,ERR_RDG_M_TMatrix_ABS_CRS_Percent,ERR_RDG_M_TMatrix_SCA_CRS_Percent,created_at,updated_at,MLink
1,-0.0017344176241388203,-0.00012766931814469157,-16.41242803083556,-15.658977195348099,2019-07-16 06:07:57,2019-07-16 06:07:57,1
2,-0.001386233631094712,-7.252289141214447e-05,-7.8789239767218495,-5.012157083875031,2019-07-16 06:07:57,2019-07-16 06:07:57,2
3,-5.345004683958477e-05,-7.160947324606683e-06,-8.558964107660742,-54.774357029147176,2019-07-16 06:07:57,2019-07-16 06:07:57,3
4,-0.00033500381901869044,-1.6353706428216997e-05,-13.335308866759332,-17.992430247703588,2019-07-16 06:07:57,2019-07-16 06:07:57,4
5,-0.000841662477125109,-2.258163362657095e-05,-12.834019353813785,-10.004208583685331,2019-07-16 06:07:57,2019-07-16 06:07:57,5
6,-0.002477211385281583,-6.548921574070827e-05,-17.688688423375794,-4.090573467178679,2019-07-16 06:07:57,2019-07-16 06:07:57,6
7,-0.001271776540564073,-5.472768530082427e-05,-14.253256299997862,-9.881041082771235,2019-07-16 06:07:57,2019-07-16 06:07:57,7
8,-0.000212479171162252,-1.7536962577418827e-05,-14.437001519505458,-48.31249876734273,2019-07-16 06:07:57,2019-07-16 06:07:57,8
9,-0.00038115090705924057,-1.8377472725253728e-05,-13.427687277837576,-17.195429488026814,2019-07-16 06:07:57,2019-07-16 06:07:57,9
10,-0.0002477179830667882,-1.995050227411378e-05,-12.430511238685417,-38.06224369776586,2019-07-16 06:07:57,2019-07-16 06:07:57,10
11,-0.0023470818348089654,-0.0002653657962621374,-18.248071887662302,-11.067476226642553,2019-07-16 06:07:57,2019-07-16 06:07:57,11
12,-9.819097780913669e-05,-1.0020682930486251e-05,-7.534721908647167,-43.689173622917394,2019-07-16 06:07:57,2019-07-16 06:07:57,12
13,-0.0002977012086673206,-0.00011655422649203243,-11.445391908533917,-30.81863687972965,2019-07-16 06:07:57,2019-07-16 06:07:57,13
14,-0.00035665254081261957,-3.697113093217718e-05,-9.176311921021655,-30.30835129176386,2019-07-16 06:07:57,2019-07-16 06:07:57,14
15,-0.005751854502686005,-0.00023688629883098224,-18.317523027108148,-5.939762381555121,2019-07-16 06:07:57,2019-07-16 06:07:57,15
16,-9.427377762199177e-05,-1.0414904038548326e-05,-11.518101279550779,-39.13004186390155,2019-07-16 06:07:57,2019-07-16 06:07:57,16
17,-0.00040917426574100797,-4.2643229737954156e-05,-5.11522528611794,-14.851642026749298,2019-07-16 06:07:57,2019-07-16 06:07:57,17
18,-0.0008502150577527734,-4.078863488322584e-05,-18.917513032461446,-16.65110651145072,2019-07-16 06:07:57,2019-07-16 06:07:57,18
19,-7.640745373331718e-05,-4.592477747320299e-06,-7.713217440508282,-36.70627148918518,2019-07-16 06:07:57,2019-07-16 06:07:57,19
20,-0.0005190677207286928,-8.338748400869501e-06,-7.648364719258271,-4.206304963780106,2019-07-16 06:07:57,2019-07-16 06:07:57,20
21,-0.0009877796220751124,-5.969280791524487e-05,-14.711985134498944,-17.76556409913713,2019-07-16 06:07:57,2019-07-16 06:07:57,21
22,-0.0006924191371928346,-3.138517252621142e-05,-8.20480609172614,-9.565922263772281,2019-07-16 06:07:57,2019-07-16 06:07:57,22
23,-0.0003739069859779848,-3.377630181030096e-05,-4.243400207266822,-11.205575428159065,2019-07-16 06:07:57,2019-07-16 06:07:57,23
24,-0.00023857561143616059,-1.626195991379036e-05,-8.247274179652054,-28.939510760764257,2019-07-16 06:07:57,2019-07-16 06:07:57,24
25,-0.00011699301088235641,-1.005726316404688e-05,-9.98590976791002,-38.715372565806845,2019-07-16 06:07:57,2019-07-16 06:07:57,25
26,-0.0008917214667077897,-3.684570062444598e-05,-14.702310756838013,-9.906366089460144,2019-07-16 06:07:57,2019-07-16 06:07:57,26
27,-0.00021851821060161553,-2.2818691401264892e-05,-11.652794738122076,-59.848197429782466,2019-07-16 06:07:57,2019-07-16 06:07:57,27
28,-0.000118420136164768,-9.44134942224966e-06,-7.66864668102482,-34.99099863723321,2019-07-16 06:07:57,2019-07-16 06:07:57,28
29,-0.00015320436373809012,-6.061639242009426e-06,-9.594560956767227,-24.373858268035182,2019-07-16 06:07:57,2019-07-16 06:07:57,29
30,-0.0006271951889915109,-5.746409739491733e-05,-9.92518184943271,-21.997544400116286,2019-07-16 06:07:57,2019-07-16 06:07:57,30
31,-0.0005281353583764713,-1.6987063010948986e-05,-16.595171451750772,-14.716138689121497,2019-07-16 06:07:57,2019-07-16 06:07:57,31
32,-0.0011333936032699408,-5.117998170208998e-05,-14.29209742421156,-12.281707700635632,2019-07-16 06:07:57,2019-07-16 06:07:57,32
33,-0.001602599651055392,-0.00013555209993831928,-14.788435421542815,-16.791741757968023,2019-07-16 06:07:57,2019-07-16 06:07:57,33
34,-0.0008304940224605829,-7.63257780034265e-05,-6.869761225143494,-12.15776415047045,2019-07-16 06:07:57,2019-07-16 06:07:57,34
