AA_FileName,AA_Plot,AGG_FRACTAL_DIMENSION_CENTER,AGG_FRACTAL_DIMENSION_STANDARD_DEVIATION,AGG_FRACTAL_PREFACTOR_CENTER,AGG_FRACTAL_PREFACTOR_STANDARD_DEVIATION,AGG_EFF_DM_CENTER,AGG_EFF_DM_STANDARD_DEVIATION,AGG_EFF_RHO_100NM_CENTER,AGG_EFF_RHO_100NM_STANDARD_DEVIATION,AGG_MATERIAL_DENSITY_CENTER,AGG_MATERIAL_DENSITY_STANDARD_DEVIATION,AGG_RI_REAL_CENTER,AGG_RI_REAL_STANDARD_DEVIATION,AGG_RI_IMAG_CENTER,AGG_RI_IMAG_STANDARD_DEVIATION,AGG_WLENGTH_CENTER,AGG_WLENGTH_STANDARD_DEVIATION,AGG_POLYDISPERSITY_SIGMA_EACH_MOBILITY_CENTER,AGG_POLYDISPERSITY_SIGMA_EACH_MOBILITY_STANDARD_DEVIATION,AGG_PREFACTOR_PROJECTED_AREA_COEFFICIENT_CENTER,AGG_PREFACTOR_PROJECTED_AREA_COEFFICIENT_STANDARD_DEVIATION,AGG_EXPONENT_PROJECTED_AREA_COEFFICIENT_CENTER,AGG_EXPONENT_PROJECTED_AREA_COEFFICIENT_STANDARD_DEVIATION,AGG_MOBILITY_DIAMETER_CENTER_MAX,AGG_MOBILITY_DIAMETER_CENTER_MIN,AGG_AERODYNAMIC_DIAMETER_CENTER,AGG_AERODYNAMIC_DIAMETER_STANDARD_DEVIATION,AGG_PRIMARY_DIAMETER_CENTER,AGG_PRIMARY_DIAMETER_STANDARD_DEVIATION,AGG_PRIMARY_NUMBER_CENTER,AGG_PRIMARY_NUMBER_STANDARD_DEVIATION,AGG_POLYDISPERSITY_SIGMA_WITHIN_CENTER,AGG_POLYDISPERSITY_SIGMA_WITHIN_STANDARD_DEVIATION,AGG_EXPONENT_FREE_MOLECULAR_D_MFM_CENTER,AGG_EXPONENT_FREE_MOLECULAR_D_MFM_STANDARD_DEVIATION,AGG_EXPONENT_CONTINUUM_REGIME_D_MC_CENTER,AGG_EXPONENT_CONTINUUM_REGIME_D_MC_STANDARD_DEVIATION,AIR_TEMPERATURE_CENTER,AIR_TEMPERATURE_STANDARD_DEVIATION,AIR_PRESSURE_CENTER,AIR_PRESSURE_STANDARD_DEVIATION,PAX_ABSORPTION_COEFFICIENT_CENTER,PAX_ABSORPTION_COEFFICIENT_STANDARD_DEVIATION,PAX_SCATTERING_COEFFICIENT_CENTER,PAX_SCATTERING_COEFFICIENT_STANDARD_DEVIATION,PAX_WAVE_LENGTH_CENTER,PAX_WAVE_LENGTH_STANDARD_DEVIATION,CPC_NUMBER_DENSITY_CENTER,CPC_NUMBER_DENSITY_STANDARD_DEVIATION,MONTECARLO_ARRAY_SIZE,MONTECARLO_RANDOM_SIZE,VERSION,MobilityBins,NumberOfSigma,PrimaryBins,FittedSigma,FittedMedian,dp100_nano,D_TEM,R2score,explainedVarianceScore
2019-11-13T213224+0000.csv,1,1.9,-1,1.2,0,2.2,0.01,450,1,1800,-1,1.95,-1,0.79,-1,550,-1,1,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1,15,15.17319211,0,1,1
2019-11-13T213658+0000.csv,1,1.9,-1,1.2,0,2.2,0.01,450,1,1800,-1,1.95,-1,0.79,-1,550,-1,1.4,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.31,13.6,15.17319211,0,0.67,0.7
2019-11-13T224333+0000.csv,1,1.9,-1,1.2,0,2.2,0.01,450,1,1800,-1,1.95,-1,0.79,-1,550,-1,1.8,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.41,12.4,15.17319211,0,0.54,0.58
2019-11-13T234304+0000.csv,1,1.9,-1,1.2,0,2.5,0.01,450,1,1800,-1,1.95,-1,0.79,-1,550,-1,1,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.16,18.1,15.17319211,0.375,0.93,0.94
2019-11-14T003220+0000.csv,1,1.9,-1,1.2,0,2.5,0.01,450,1,1800,-1,1.95,-1,0.79,-1,550,-1,1.4,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.38,16.5,15.17319211,0.375,0.94,0.94
2019-11-14T015024+0000.csv,1,1.9,-1,1.2,0,2.5,0.01,450,1,1800,-1,1.95,-1,0.79,-1,550,-1,1.8,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.46,13.6,15.17319211,0.375,0.86,0.86
2019-11-14T025122+0000.csv,1,1.9,-1,1.2,0,2.8,0.01,450,1,1800,-1,1.95,-1,0.79,-1,550,-1,1,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.35,19.9,15.17319211,0.75,0.98,0.98
2019-11-14T033612+0000.csv,1,1.9,-1,1.2,0,2.8,0.01,450,1,1800,-1,1.95,-1,0.79,-1,550,-1,1.4,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.48,18.1,15.17319211,0.75,0.95,0.96
2019-11-14T045453+0000.csv,1,1.9,-1,1.2,0,2.8,0.01,450,1,1800,-1,1.95,-1,0.79,-1,550,-1,1.8,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1.54,15,15.17319211,0.75,0.82,0.83
2019-11-14T055829+0000.csv,1,1.9,-1,1.2,0,2.2,0.01,550,1,1800,-1,1.95,-1,0.79,-1,550,-1,1,-1,1.13,-1,1.1,-1,950,50,-1,-1,-1,-1,-1,-1,1,0,0.46,-1,0.52,-1,298,1,93900,1,-1,-1,-1,-1,870,-1,-1,-1,10000,2500,0.3,49,3,32,1,19.9,19.49910492,0,1,1
