AA_FileName,AA_Plot,AGG_AERODYNAMIC_DIAMETER_CENTER,AGG_AERODYNAMIC_DIAMETER_STANDARD_DEVIATION,AGG_EFF_DM_CENTER,AGG_EFF_DM_STANDARD_DEVIATION,AGG_EFF_RHO_100NM_CENTER,AGG_EFF_RHO_100NM_STANDARD_DEVIATION,AGG_EXPONENT_CONTINUUM_REGIME_D_MC_CENTER,AGG_EXPONENT_CONTINUUM_REGIME_D_MC_STANDARD_DEVIATION,AGG_EXPONENT_FREE_MOLECULAR_D_MFM_CENTER,AGG_EXPONENT_FREE_MOLECULAR_D_MFM_STANDARD_DEVIATION,AGG_EXPONENT_PROJECTED_AREA_COEFFICIENT_CENTER,AGG_EXPONENT_PROJECTED_AREA_COEFFICIENT_STANDARD_DEVIATION,AGG_FRACTAL_DIMENSION_CENTER,AGG_FRACTAL_DIMENSION_STANDARD_DEVIATION,AGG_FRACTAL_PREFACTOR_CENTER,AGG_FRACTAL_PREFACTOR_STANDARD_DEVIATION,AGG_MATERIAL_DENSITY_CENTER,AGG_MATERIAL_DENSITY_STANDARD_DEVIATION,AGG_MOBILITY_DIAMETER_CENTER_MAX,AGG_MOBILITY_DIAMETER_CENTER_MIN,AGG_POLYDISPERSITY_SIGMA_EACH_MOBILITY_CENTER,AGG_POLYDISPERSITY_SIGMA_EACH_MOBILITY_STANDARD_DEVIATION,AGG_POLYDISPERSITY_SIGMA_WITHIN_CENTER,AGG_POLYDISPERSITY_SIGMA_WITHIN_STANDARD_DEVIATION,AGG_PREFACTOR_PROJECTED_AREA_COEFFICIENT_CENTER,AGG_PREFACTOR_PROJECTED_AREA_COEFFICIENT_STANDARD_DEVIATION,AGG_PRIMARY_DIAMETER_CENTER,AGG_PRIMARY_DIAMETER_STANDARD_DEVIATION,AGG_PRIMARY_NUMBER_CENTER,AGG_PRIMARY_NUMBER_STANDARD_DEVIATION,AGG_RI_IMAG_CENTER,AGG_RI_IMAG_STANDARD_DEVIATION,AGG_RI_REAL_CENTER,AGG_RI_REAL_STANDARD_DEVIATION,AGG_WLENGTH_CENTER,AGG_WLENGTH_STANDARD_DEVIATION,AIR_PRESSURE_CENTER,AIR_PRESSURE_STANDARD_DEVIATION,AIR_TEMPERATURE_CENTER,AIR_TEMPERATURE_STANDARD_DEVIATION,CPC_NUMBER_DENSITY_CENTER,CPC_NUMBER_DENSITY_STANDARD_DEVIATION,D_TEM,FittedMedian,FittedSigma,MONTECARLO_ARRAY_SIZE,MONTECARLO_RANDOM_SIZE,MobilityBins,NumberOfSigma,PAX_ABSORPTION_COEFFICIENT_CENTER,PAX_ABSORPTION_COEFFICIENT_STANDARD_DEVIATION,PAX_SCATTERING_COEFFICIENT_CENTER,PAX_SCATTERING_COEFFICIENT_STANDARD_DEVIATION,PAX_WAVE_LENGTH_CENTER,PAX_WAVE_LENGTH_STANDARD_DEVIATION,PrimaryBins,R2score,VERSION,dp100_nano,explainedVarianceScore
2019-11-14T041906+0000.csv,1,-1,-1,2.2,0.01,550,1,0.52,-1,0.46,-1,1.1,-1,1.9,-1,1.2,0,1800,-1,950,50,1.4,-1,1,0,1.13,-1,-1,-1,-1,-1,0.7,-1,1.87,-1,870,-1,93900,1,298,1,-1,-1,0,18.1,1.26,10000,2500,49,3,-1,-1,-1,-1,870,-1,32,0.68,0.3,19.49910492,0.7
2019-11-14T045808+0000.csv,1,-1,-1,2.2,0.01,550,1,0.52,-1,0.46,-1,1.1,-1,1.9,-1,1.2,0,1800,-1,950,50,1.8,-1,1,0,1.13,-1,-1,-1,-1,-1,0.7,-1,1.87,-1,870,-1,93900,1,298,1,-1,-1,0,18.1,1.36,10000,2500,49,3,-1,-1,-1,-1,870,-1,32,0.48,0.3,19.49910492,0.53
2019-11-14T053438+0000.csv,1,-1,-1,2.5,0.01,550,1,0.52,-1,0.46,-1,1.1,-1,1.9,-1,1.2,0,1800,-1,950,50,1,-1,1,0,1.13,-1,-1,-1,-1,-1,0.7,-1,1.87,-1,870,-1,93900,1,298,1,-1,-1,0.375,26.5,1.25,10000,2500,49,3,-1,-1,-1,-1,870,-1,32,0.99,0.3,19.49910492,0.99
2019-11-14T060425+0000.csv,1,-1,-1,2.5,0.01,550,1,0.52,-1,0.46,-1,1.1,-1,1.9,-1,1.2,0,1800,-1,950,50,1.4,-1,1,0,1.13,-1,-1,-1,-1,-1,0.7,-1,1.87,-1,870,-1,93900,1,298,1,-1,-1,0.375,24.1,1.39,10000,2500,49,3,-1,-1,-1,-1,870,-1,32,0.94,0.3,19.49910492,0.94
2019-11-14T065058+0000.csv,1,-1,-1,2.5,0.01,550,1,0.52,-1,0.46,-1,1.1,-1,1.9,-1,1.2,0,1800,-1,950,50,1.8,-1,1,0,1.13,-1,-1,-1,-1,-1,0.7,-1,1.87,-1,870,-1,93900,1,298,1,-1,-1,0.375,21.9,1.46,10000,2500,49,3,-1,-1,-1,-1,870,-1,32,0.75,0.3,19.49910492,0.78
2019-11-14T072936+0000.csv,1,-1,-1,2.8,0.01,550,1,0.52,-1,0.46,-1,1.1,-1,1.9,-1,1.2,0,1800,-1,950,50,1,-1,1,0,1.13,-1,-1,-1,-1,-1,0.7,-1,1.87,-1,870,-1,93900,1,298,1,-1,-1,0.75,29.1,1.5,10000,2500,49,3,-1,-1,-1,-1,870,-1,32,0.79,0.3,19.49910492,0.84
2019-11-14T075436+0000.csv,1,-1,-1,2.8,0.01,550,1,0.52,-1,0.46,-1,1.1,-1,1.9,-1,1.2,0,1800,-1,950,50,1.4,-1,1,0,1.13,-1,-1,-1,-1,-1,0.7,-1,1.87,-1,870,-1,93900,1,298,1,-1,-1,0.75,26.5,1.55,10000,2500,49,3,-1,-1,-1,-1,870,-1,32,0.94,0.3,19.49910492,0.94
2019-11-14T084222+0000.csv,1,-1,-1,2.8,0.01,550,1,0.52,-1,0.46,-1,1.1,-1,1.9,-1,1.2,0,1800,-1,950,50,1.8,-1,1,0,1.13,-1,-1,-1,-1,-1,0.7,-1,1.87,-1,870,-1,93900,1,298,1,-1,-1,0.75,24.1,1.56,10000,2500,49,3,-1,-1,-1,-1,870,-1,32,0.86,0.3,19.49910492,0.86
2019-11-14T092119+0000.csv,1,-1,-1,2.2,0.01,650,1,0.52,-1,0.46,-1,1.1,-1,1.9,-1,1.2,0,1800,-1,950,50,1,-1,1,0,1.13,-1,-1,-1,-1,-1,0.7,-1,1.87,-1,870,-1,93900,1,298,1,-1,-1,0,24.1,1,10000,2500,49,3,-1,-1,-1,-1,870,-1,32,1,0.3,24.02719152,1
2019-11-14T092434+0000.csv,1,-1,-1,2.2,0.01,650,1,0.52,-1,0.46,-1,1.1,-1,1.9,-1,1.2,0,1800,-1,950,50,1.4,-1,1,0,1.13,-1,-1,-1,-1,-1,0.7,-1,1.87,-1,870,-1,93900,1,298,1,-1,-1,0,21.9,1.3,10000,2500,49,3,-1,-1,-1,-1,870,-1,32,0.75,0.3,24.02719152,0.76
2019-11-14T100954+0000.csv,1,-1,-1,2.2,0.01,650,1,0.52,-1,0.46,-1,1.1,-1,1.9,-1,1.2,0,1800,-1,950,50,1.8,-1,1,0,1.13,-1,-1,-1,-1,-1,0.7,-1,1.87,-1,870,-1,93900,1,298,1,-1,-1,0,19.9,1.4,10000,2500,49,3,-1,-1,-1,-1,870,-1,32,0.62,0.3,24.02719152,0.65
2019-11-14T104733+0000.csv,1,-1,-1,2.5,0.01,650,1,0.52,-1,0.46,-1,1.1,-1,1.9,-1,1.2,0,1800,-1,950,50,1,-1,1,0,1.13,-1,-1,-1,-1,-1,0.7,-1,1.87,-1,870,-1,93900,1,298,1,-1,-1,0.375,35.2,1.25,10000,2500,49,3,-1,-1,-1,-1,870,-1,32,0.9,0.3,24.02719152,0.9
2019-11-14T112115+0000.csv,1,-1,-1,2.5,0.01,650,1,0.52,-1,0.46,-1,1.1,-1,1.9,-1,1.2,0,1800,-1,950,50,1.4,-1,1,0,1.13,-1,-1,-1,-1,-1,0.7,-1,1.87,-1,870,-1,93900,1,298,1,-1,-1,0.375,29.1,1.44,10000,2500,49,3,-1,-1,-1,-1,870,-1,32,0.95,0.3,24.02719152,0.96
2019-11-14T121356+0000.csv,1,-1,-1,2.5,0.01,650,1,0.52,-1,0.46,-1,1.1,-1,1.9,-1,1.2,0,1800,-1,950,50,1.8,-1,1,0,1.13,-1,-1,-1,-1,-1,0.7,-1,1.87,-1,870,-1,93900,1,298,1,-1,-1,0.375,24.1,1.5,10000,2500,49,3,-1,-1,-1,-1,870,-1,32,0.83,0.3,24.02719152,0.83
2019-11-14T125433+0000.csv,1,-1,-1,2.8,0.01,650,1,0.52,-1,0.46,-1,1.1,-1,1.9,-1,1.2,0,1800,-1,950,50,1,-1,1,0,1.13,-1,-1,-1,-1,-1,0.7,-1,1.87,-1,870,-1,93900,1,298,1,-1,-1,0.75,38.7,1.53,10000,2500,49,3,-1,-1,-1,-1,870,-1,32,0.95,0.3,24.02719152,0.95
2019-11-14T132007+0000.csv,1,-1,-1,2.8,0.01,650,1,0.52,-1,0.46,-1,1.1,-1,1.9,-1,1.2,0,1800,-1,950,50,1.4,-1,1,0,1.13,-1,-1,-1,-1,-1,0.7,-1,1.87,-1,870,-1,93900,1,298,1,-1,-1,0.75,32,1.58,10000,2500,49,3,-1,-1,-1,-1,870,-1,32,0.95,0.3,24.02719152,0.96
2019-11-14T140704+0000.csv,1,-1,-1,2.8,0.01,650,1,0.52,-1,0.46,-1,1.1,-1,1.9,-1,1.2,0,1800,-1,950,50,1.8,-1,1,0,1.13,-1,-1,-1,-1,-1,0.7,-1,1.87,-1,870,-1,93900,1,298,1,-1,-1,0.75,26.5,1.6,10000,2500,49,3,-1,-1,-1,-1,870,-1,32,0.87,0.3,24.02719152,0.87
